TP,q,Q,P,Object_name
2446467.395,0.585978112,35.08,75.32,1P/Halley
2456618.204,0.336092386,4.09,3.3,2P/Encke
2390514.115,0.879073,6.19,6.65,3D/Biela
2407439.534,0.589847,5.61,5.46,5D/Brorsen
2457053.028,1.239214834,5.6,6.32,7P/Pons-Winnecke
2454492.526,1.027116587,10.37,13.61,8P/Tuttle
2434885.381,0.773667087,33.47,70.85,12P/Pons-Brooks
2435643.635,1.178450614,32.64,69.52,13P/Olbers
2457018.557,0.975900773,6,6.51,15P/Finlay
2440162.042,1.272248081,5.85,6.72,18D/Perrine-Mrkos
2420098.29,1.254012762,30.03,61.87,20D/Westphal
2455969.126,1.030696274,6,6.59,21P/Giacobini-Zinner
2447781.437,0.478752711,33.66,70.52,23P/Brorsen-Metcalf
2452032.161,1.205010042,6.96,8.25,24P/Schaumasse
2456479.559,1.085247781,4.95,5.24,26P/Grigg-Skjellerup
2455777.391,0.748287467,17.72,28.07,27P/Crommelin
2453898.291,1.047777635,5.12,5.42,41P/Tuttle-Giacobini-Kresak
2455833.282,0.529761421,5.51,5.25,45P/Honda-Mrkos-Pajdusakova
2456482.869,1.052262085,5.12,5.43,46P/Wirtanen
2450872.598,0.976427916,19.7,33.24,55P/Tempel-Tuttle
2452879.492,1.274266775,10.73,14.71,66P/du Toit
2457247.572,1.243241683,5.68,6.44,67P/Churyumov-Gerasimenko
2456850.137,0.784161206,7.89,9.03,72P/Denning-Fujikawa
2449983.39,0.932770793,5.18,5.34,73P/Schwassmann-Wachmann 3
2453894.424,0.939111037,5.18,5.36,73P/Schwassmann-Wachmann 3-B
2455851.4,0.942856631,5.18,5.36,73P/Schwassmann-Wachmann 3-C
2451937.953,0.937436995,5.19,5.36,73P/Schwassmann-Wachmann 3-E
2453894.596,0.93918393,5.19,5.36,73P/Schwassmann-Wachmann 3-G
2453894.78,0.939169509,5.19,5.37,73P/Schwassmann-Wachmann 3-H
2453894.65,0.939020205,5.15,5.31,73P/Schwassmann-Wachmann 3-J
2453894.722,0.939076844,5.19,5.36,73P/Schwassmann-Wachmann 3-K
2453894.829,0.939089394,5.21,5.4,73P/Schwassmann-Wachmann 3-L
2453894.757,0.939096815,5.2,5.37,73P/Schwassmann-Wachmann 3-M
2453894.77,0.939254358,5.17,5.33,73P/Schwassmann-Wachmann 3-N
2453894.353,0.939159139,5.23,5.42,73P/Schwassmann-Wachmann 3-P
2453894.179,0.939715748,5.3,5.51,73P/Schwassmann-Wachmann 3-Q
2453894.68,0.939131547,5.2,5.38,73P/Schwassmann-Wachmann 3-R
2453895.26,1.022366578,5.65,6.09,73P/Schwassmann-Wachmann 3-S
2453895.2,0.939318776,5.58,5.89,73P/Schwassmann-Wachmann 3-T
2453895.536,0.939390329,5.11,5.26,73P/Schwassmann-Wachmann 3-U
2453894.977,0.912206736,5.04,5.13,73P/Schwassmann-Wachmann 3-V
2453894.97,0.939125033,5.27,5.47,73P/Schwassmann-Wachmann 3-W
2453895.055,0.9390827,5.21,5.4,73P/Schwassmann-Wachmann 3-X
2453895.095,0.939165741,5.76,6.13,73P/Schwassmann-Wachmann 3-Y
2453894.809,0.942039154,5.2,5.38,73P/Schwassmann-Wachmann 3-Z
2453895.666,0.939284534,4.94,5.04,73P/Schwassmann-Wachmann 3-AA
2453895.214,0.939166328,5.14,5.31,73P/Schwassmann-Wachmann 3-AB
2453895.178,0.939045253,5.23,5.41,73P/Schwassmann-Wachmann 3-AC
2453895.179,0.94070736,5.19,5.37,73P/Schwassmann-Wachmann 3-AD
2453894.826,0.939051181,5.25,5.45,73P/Schwassmann-Wachmann 3-AE
2453893.514,0.941184912,4.87,4.96,73P/Schwassmann-Wachmann 3-AF
2453895.498,0.939039245,5.23,5.42,73P/Schwassmann-Wachmann 3-AG
2453895.13,0.942986615,5.21,5.39,73P/Schwassmann-Wachmann 3-AH
2453895.2,0.938888072,5.28,5.49,73P/Schwassmann-Wachmann 3-AI
2453894.511,0.936080103,8.43,10.14,73P/Schwassmann-Wachmann 3-AJ
2453894.883,0.937705211,5.18,5.35,73P/Schwassmann-Wachmann 3-AK
2453894.906,0.938768584,5.32,5.53,73P/Schwassmann-Wachmann 3-AL
2453894.701,0.930937164,5.14,5.29,73P/Schwassmann-Wachmann 3-AM
2453894.816,0.938997324,5.21,5.4,73P/Schwassmann-Wachmann 3-AN
2453894.351,0.940750162,5.2,5.38,73P/Schwassmann-Wachmann 3-AO
2453893.11,0.938745429,5.35,5.58,73P/Schwassmann-Wachmann 3-AP
2453894.4,0.939006437,5.24,5.43,73P/Schwassmann-Wachmann 3-AQ
2453893.311,0.93920476,5.24,5.43,73P/Schwassmann-Wachmann 3-AR
2453892.763,0.93882735,5.34,5.56,73P/Schwassmann-Wachmann 3-AS
2453892.789,0.93962879,5.06,5.2,73P/Schwassmann-Wachmann 3-AT
2453894.598,0.939297959,5.18,5.35,73P/Schwassmann-Wachmann 3-AU
2453892.996,0.939024288,5.19,5.36,73P/Schwassmann-Wachmann 3-AV
2453894.409,0.940257756,4.89,4.97,73P/Schwassmann-Wachmann 3-AW
2453895.999,0.93800954,5.16,5.33,73P/Schwassmann-Wachmann 3-AX
2453895.402,0.940193404,4.85,4.92,73P/Schwassmann-Wachmann 3-AY
2453893.205,0.940317778,4.85,4.92,73P/Schwassmann-Wachmann 3-AZ
2453893.044,0.94024779,4.98,5.09,73P/Schwassmann-Wachmann 3-BA
2453893.591,0.942420571,4.99,5.11,73P/Schwassmann-Wachmann 3-BB
2453893.107,0.938807405,5.33,5.55,73P/Schwassmann-Wachmann 3-BC
2453892.675,0.946155584,5.01,5.14,73P/Schwassmann-Wachmann 3-BD
2453893.475,0.939421341,4.98,5.09,73P/Schwassmann-Wachmann 3-BE
2453893.564,0.939574294,5.04,5.17,73P/Schwassmann-Wachmann 3-BF
2453895.307,0.939341834,5.02,5.14,73P/Schwassmann-Wachmann 3-BG
2453895.153,0.939816247,4.98,5.09,73P/Schwassmann-Wachmann 3-BH
2453895.226,0.939765097,4.98,5.09,73P/Schwassmann-Wachmann 3-BI
2453895.186,0.939252921,5.14,5.3,73P/Schwassmann-Wachmann 3-BJ
2453895.397,0.939266636,5.15,5.31,73P/Schwassmann-Wachmann 3-BK
2453895.363,0.939099662,5.24,5.44,73P/Schwassmann-Wachmann 3-BL
2453895.516,0.939756863,4.98,5.09,73P/Schwassmann-Wachmann 3-BM
2453894.712,0.939185745,5.15,5.32,73P/Schwassmann-Wachmann 3-BN
2453894.772,0.939219069,5.16,5.32,73P/Schwassmann-Wachmann 3-BO
2453894.892,0.939783268,4.98,5.09,73P/Schwassmann-Wachmann 3-BP
2453894.8,0.939155664,5.17,5.34,73P/Schwassmann-Wachmann 3-BQ
2453892.736,0.939601786,5.03,5.16,73P/Schwassmann-Wachmann 3-BR
2453892.278,0.938948672,5.29,5.5,73P/Schwassmann-Wachmann 3-BS
2456527.786,1.123805321,4.77,5.06,79P/du Toit-Hartley
2454813.247,1.134657452,9.24,11.81,85P/Boethin
2456123.323,0.123748853,5.94,5.28,96P/Machholz 1
2457863.823,1.064195154,5.89,6.48,103P/Hartley 2
2457473.288,1.178758464,5.34,5.89,104P/Kowal 2
2448968.5,0.959516155,51.22,133.28,109P/Swift-Tuttle
2449996.5,0.659337336,34.7,74.35,122P/de Vico
2453429.749,0.752849878,5.27,5.23,141P/Machholz 2-A
2451522.455,0.749005694,5.27,5.22,141P/Machholz 2-D
2453542.365,1.27343339,14.17,21.46,161P/Hartley-IRAS
2453319.778,1.227689026,4.87,5.32,162P/Siding Spring
2453631.013,0.606980751,4.6,4.2,169P/NEAT
2453976.192,1.107319662,47.57,120.07,177P/Barnard
2456818.826,1.123593041,6.55,7.52,181P/Shoemaker-Levy 6
2454137.333,0.978022459,4.88,5.02,182P/LONEOS
2456153.046,0.932014336,5.27,5.46,185P/Petriew
2456128.957,1.177562746,4.66,4.99,189P/NEAT
2456376.326,1.061393391,4.67,4.85,197P/LINEAR
2450626.305,0.978812133,5.31,5.57,206P/Barnard-Boattini
2454776.877,0.943996196,6.83,7.66,207P/NEAT
2454938.94,0.901668822,4.96,5.02,209P/LINEAR
2456886.746,0.531313913,5.81,5.65,210P/Christensen
2455083.48,1.223482234,6.66,7.83,217P/LINEAR
2455075.7,0.780761495,4.93,4.83,222P/LINEAR
2452555.598,1.192065517,5.9,6.68,225P/LINEAR
2453976.035,0.510585571,5.04,4.63,249P/LINEAR
2451613.458,1.001368431,5.11,5.34,252P/LINEAR
2457876.215,1.00817764,5.07,5.3,255P/Levy
2456265.959,1.280276583,12.59,18.27,262P/McNaught-Russell
2454098.266,1.251302076,4.81,5.27,263P/Gibbs
2456281.057,0.810431048,64.27,185.64,273P/Pons-Gambart
2452985.145,0.998682779,5.16,5.41,289P/Blanpain
2454631.335,1.297734649,5.1,5.73,294P/LINEAR
2456807.378,0.825979778,4.56,4.42,300P/Catalina
2452865.469,1.246918534,4.96,5.47,306P/LINEAR
2455385.227,1.198390481,4.65,5.01,317P/WISE
2417536.077,1.208610867,45.97,114.56,C/1906 V1 (Thiele)
2422813.844,1.098349017,13.33,19.38,C/1921 H1 (Dubiago)
2443790.992,1.101417705,5.48,5.97,D/1978 R1 (Haneda-Campos)
2448445.695,0.982559471,26.62,51.28,C/1991 L3 (Levy)
2453318.081,0.049058228,6.15,5.46,P/1999 J6 (SOHO)
2452891.317,0.057012651,4.99,4.01,P/1999 R1 (SOHO)
2451453.843,1.231758765,5.82,6.62,P/1999 RO28 (LONEOS)
2453076.829,0.047951234,5.18,4.22,C/1999 X3 (SOHO)
2452348.706,0.99404788,25.61,48.5,C/2001 OG108 (LONEOS)
2452267.418,1.051064641,34.81,75.91,C/2001 W2 (BATTERS)
2452522.684,0.047401601,6.38,5.77,C/2002 R5 (SOHO)
2452538.404,0.04879857,6.4,5.79,P/2002 S7 (SOHO)
2455952.953,0.574839946,4.57,4.12,P/2003 T12 (SOHO)
2455248.548,0.986192006,5.23,5.48,P/2004 R1 (McNaught)
2453654.037,0.649399439,17.98,28.44,P/2005 T4 (SWAN)
2453697.986,0.05398036,6.03,5.31,P/2005 W4 (SOHO)
2454102.782,1.226427704,14.41,21.86,P/2006 HR30 (Siding Spring)
2454362.521,0.695862748,5.49,5.43,P/2007 T2 (Kowalski)
2454741.329,1.190641555,5.95,6.74,P/2008 S1 (Catalina-McNaught)
2454887.597,1.27197954,8.32,10.51,P/2008 Y1 (Boattini)
2454822.977,0.065413686,6.09,5.4,P/2008 Y12 (SOHO)
2454973.255,1.296125756,5.54,6.32,P/2009 L2 (Yang-Gao)
2455227.575,0.799955544,5.36,5.41,P/2009 WX51 (Catalina)
2455309.645,0.790900833,15.64,23.56,C/2010 L5 (WISE)
2455582.092,1.242925561,9.88,13.12,P/2011 NO1 (Elenin)
2455860.848,1.115118144,31.49,65.83,C/2011 S2 (Kowalski)
2456091.59,1.291890069,15.71,24.79,P/2012 NJ (La Sagra)
2456511.432,0.800147691,4.96,4.89,P/2013 CU129 (PANSTARRS)
2456706.719,1.117672075,6.09,6.84,P/2013 TL117 (Lemmon)
2456937.65,1.164298274,4.7,5.02,P/2014 U2 (Kowalski)
2457076.25,1.15385721,14.05,20.95,P/2015 A3 (PANSTARRS)
2457073.248,0.028321056,9.85,10.98,C/2015 D1 (SOHO)
2457141.343,1.209544218,63.13,182.45,C/2015 F2 (Polonia)
2457109.599,0.346005132,30.73,61.26,C/2015 F5 (SWAN-Xingming)
